,id,dataset_id,decimallongitude,decimallatitude,date_start,date_mid,date_end,date_year,scientificname,originalscientificname,minimumdepthinmeters,maximumdepthinmeters,depth,coordinateuncertaintyinmeters,flags,dropped,absence,shoredistance,bathymetry,sst,sss,marine,brackish,freshwater,terrestrial,taxonrank,aphiaid,redlist_category,superdomain,domain,kingdom,subkingdom,infrakingdom,phylum,phylum_division,subphylum_subdivision,subphylum,infraphylum,parvphylum,gigaclass,megaclass,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,series,species,subspecies,natio,variety,subvariety,forma,subforma,type,modified,language,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,materialsampleid,occurrenceid,catalognumber,occurrenceremarks,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,othercatalognumbers,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,eventid,parenteventid,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,fieldnumber,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,minimumelevationinmeters,maximumelevationinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,geodeticdatum,coordinateprecision,pointradiusspatialfit,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationremarks,identificationqualifier,identificationverificationstatus,typestatus,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,specificepithet,infraspecificepithet,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks,depht_positive,geometry,cluster
0,84cbd797-91a1-44f8-a385-15e83d7546be,f6095707-4117-4580-ad3e-e7e6bd20df5a,-24.92231667,38.10546667,1117843200000,1117843200000,1117843200000,2005,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,34626,2781.0,18.9,36.2,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_878,POPA_MM_FO_878,VernacularName: Golfinho-comum,50510,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,2005-06-04,,,,2005,6,4,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,0001°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,2781.0,POINT (-24.92231667 38.10546667),1
1,f254c6ff-d72c-4081-a3a7-db24bbaaa153,f6095707-4117-4580-ad3e-e7e6bd20df5a,-29.05,38.26666667,925257600000,925257600000,925257600000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,38464,1219.5,19.17,36.23,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_301,POPA_MM_FO_301,VernacularName: Golfinho-comum,5549,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-04-28,,,,1999,4,28,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,1219.5,POINT (-29.05 38.26666667),0
2,78759bdf-85b4-412e-a5c5-29c4d06de988,f6095707-4117-4580-ad3e-e7e6bd20df5a,-27.95,38.73333333,958867200000,958867200000,958867200000,2000,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,9192,1149.0,18.75,36.18,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_632,POPA_MM_FO_632,VernacularName: Golfinho-comum,15167,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,2000-05-21,,,,2000,5,21,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,1149.0,POINT (-27.95 38.73333333),0
3,078479c1-ccc9-491f-915b-ec1452b4feaa,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.86666667,37.83333333,926294400000,926294400000,926294400000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,2034,117.0,18.99,36.23,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_305,POPA_MM_FO_305,VernacularName: Golfinho-comum,5595,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-10,,,,1999,5,10,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,117.0,POINT (-25.86666667 37.83333333),2
4,71be1f48-965a-464d-b68b-75274e27f53d,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.81666667,37.68333333,926294400000,926294400000,926294400000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,11001,611.0,19.09,36.24,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_303,POPA_MM_FO_303,VernacularName: Golfinho-comum,5591,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-10,,,,1999,5,10,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,611.0,POINT (-25.81666667 37.68333333),2
5,4a21d61d-9112-4ef6-ae5f-8a796ec2c9eb,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.85,37.71666667,926380800000,926380800000,926380800000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,9837,838.5,19.1,36.25,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_307,POPA_MM_FO_307,VernacularName: Golfinho-comum,5606,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-11,,,,1999,5,11,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,838.5,POINT (-25.85 37.71666667),2
6,0b3ba73c-50b2-4d3c-8510-3bbc7915b7df,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.78333333,37.7,926380800000,926380800000,926380800000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,7673,490.0,19.09,36.24,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_310,POPA_MM_FO_310,VernacularName: Golfinho-comum,5612,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-11,,,,1999,5,11,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,490.0,POINT (-25.78333333 37.7),2
7,5f897d09-7bd4-46e2-99fc-32a2d93bddec,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.88333333,37.81666667,926294400000,926294400000,926294400000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,3950,297.0,18.99,36.23,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_302,POPA_MM_FO_302,VernacularName: Golfinho-comum,5587,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-10,,,,1999,5,10,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,297.0,POINT (-25.88333333 37.81666667),2
8,1c3194c0-e498-4bcf-92ed-b6060f2a7132,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.85,37.71666667,926380800000,926380800000,926380800000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,9837,838.5,19.1,36.25,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_309,POPA_MM_FO_309,VernacularName: Golfinho-comum,5609,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-11,,,,1999,5,11,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,838.5,POINT (-25.85 37.71666667),2
9,b244437c-dbdf-45cb-8a88-bbf43b970ba8,f6095707-4117-4580-ad3e-e7e6bd20df5a,-25.75,37.7,926380800000,926380800000,926380800000,1999,Delphinus delphis,Delphinus delphis,,,,,{NO_DEPTH},0,0,5852,480.0,19.08,36.24,1,,,0,Species,137094,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Delphinus,,,,,Delphinus delphis,,,,,,,,2015-02-13 10:07:46,,,,,,,,,https://marineinfo.org/id/dataset/4675,POPA/IMAR,POPA_MARINE_MAMMALS_FO,,,Occurrence,,,,,POPA_MM_FO_311,POPA_MM_FO_311,VernacularName: Golfinho-comum,5613,popa observers,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,1999-05-11,,,,1999,5,11,,,,,,,,,Azores (several wb),,,,Portugal,,Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordinate Precision: 0,1°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137094,,,,,,,,,,,,,,delphis,,,,,,,,,480.0,POINT (-25.75 37.7),2
